연월,평균기온,최고기온,최저기온,평균상대습도,월합강수량,일최다강수량,1시간최다강수량,평균풍속,최대풍속,합계 일조시간,일조율,최심적설,최심신적설,평균지면온도,소비자물가지수,배추가격(원),ds,y,holiday
2014-10,14.827659574468084,26.384042553191488,3.4797872340425533,72.3936170212766,113.94999999999999,47.18723404255319,12.722340425531916,1.9117021276595743,8.445744680851064,214.8,61.39244680851064,0.0,0.0,16.634042553191488,94.205,1976,2014-10,1976,0
2014-11,8.919148936170213,19.53085106382979,-2.1127659574468085,69.82978723404256,60.74361702127659,35.18936170212766,0.3,1.8755319148936171,8.926595744680851,166.1776595744681,53.830000000000005,0.3,0.3,9.192553191489361,94.015,1903,2014-11,1903,김장철
2014-12,-0.2468085106382979,11.07872340425532,-10.48936170212766,61.712765957446805,28.127956989247313,7.781720430107527,0.0,2.601063829787234,10.087234042553192,170.85638297872342,56.568510638297866,10.517647058823528,8.520588235294117,0.7127659574468085,94.006,1921,2014-12,1921,김장철
2015-01,0.7265957446808511,11.459574468085107,-9.593617021276595,64.20212765957447,30.70212765957447,10.692553191489361,0.0,2.3138297872340425,8.587234042553192,172.63297872340425,55.84936170212766,5.732352941176471,4.738235294117647,0.9978723404255319,94.643,1968,2015-01,1968,0
2015-02,2.126595744680851,13.119148936170212,-10.412765957446808,61.5,28.648936170212767,14.486170212765957,0.0,2.4659574468085106,9.002127659574468,166.40851063829786,54.680638297872335,2.6375,2.41875,2.9265957446808515,94.587,2311,2015-02,2311,0
2015-03,6.729787234042553,22.127659574468087,-6.172340425531916,53.3936170212766,45.075531914893624,34.55531914893617,0.0,2.3904255319148935,9.663829787234043,250.74148936170212,67.65553191489361,1.8125,1.675,8.50531914893617,94.596,2636,2015-03,2636,0
2015-04,12.562765957446809,27.403191489361703,1.9914893617021276,66.44680851063829,133.95744680851064,37.791489361702126,12.67127659574468,2.318085106382979,10.090425531914894,178.7,45.446170212765956,0.0,0.0,14.502127659574468,94.625,3200,2015-04,3200,0
2015-05,18.330851063829787,31.63936170212766,5.675531914893617,60.40425531914894,69.7404255319149,32.558510638297875,10.05,2.1925531914893615,9.581914893617022,273.6436170212766,62.87478723404255,0.0,0.0,22.81382978723404,94.89,3364,2015-05,3364,0
2015-06,21.317204301075268,31.651063829787233,11.213829787234042,72.51612903225806,101.91595744680852,42.755319148936174,16.78617021276596,1.903225806451613,7.723404255319149,182.74148936170212,42.12148936170213,0.0,0.0,26.10967741935484,94.909,2895,2015-06,2895,0
2015-07,24.113978494623655,34.33440860215054,15.179569892473118,79.75268817204301,186.9720430107527,69.08924731182796,21.868817204301074,2.0978494623655912,9.431182795698925,164.74086021505377,37.08741935483871,0.0,0.0,27.21505376344086,95.08,2795,2015-07,2795,0
2015-08,24.98064516129032,35.24731182795699,17.153763440860214,79.51612903225806,119.46129032258064,54.6258064516129,22.22795698924731,1.7075268817204303,8.288172043010752,195.3290322580645,46.69387096774193,0.0,0.0,28.57956989247312,95.213,2783,2015-08,2783,0
2015-09,20.270967741935486,29.482795698924733,11.924731182795698,74.6989247311828,69.40645161290323,27.643010752688173,12.867741935483872,1.7494623655913977,6.746236559139785,207.90537634408602,55.84569892473118,0.0,0.0,23.486021505376343,94.966,2570,2015-09,2570,0
2015-10,14.944086021505376,26.13225806451613,1.0838709677419354,69.54838709677419,64.80215053763442,40.523655913978494,12.49247311827957,1.8376344086021505,8.764516129032259,233.60645161290324,66.71462365591398,0.0,0.0,16.953763440860214,94.966,2130,2015-10,2130,0
2015-11,10.174468085106383,21.277659574468085,-2.202127659574468,79.67021276595744,131.45212765957447,34.09574468085106,0.0,1.8680851063829786,8.154255319148936,87.12446808510639,28.221808510638297,5.090909090909091,4.818181818181818,10.823404255319149,94.786,2181,2015-11,2181,김장철
2015-12,3.7117021276595743,14.142553191489363,-7.164893617021277,69.46808510638297,44.921276595744686,19.767021276595745,0.0,1.9957446808510637,9.113829787234042,142.24255319148935,47.0295744680851,5.921428571428571,5.135714285714286,3.822340425531915,95.07,2395,2015-12,2395,김장철
2016-01,-0.6872340425531914,13.298936170212764,-14.123404255319148,61.56382978723404,30.664893617021278,12.04468085106383,0.0,2.297872340425532,9.332978723404254,162.22765957446808,52.36382978723404,13.157894736842104,7.631578947368421,0.26489361702127656,95.232,3057,2016-01,3057,0
2016-02,1.8787234042553191,16.46382978723404,-9.036170212765958,58.351063829787236,50.91702127659574,27.182978723404254,0.0,2.50531914893617,9.267021276595745,186.73936170212767,59.21202127659575,8.63125,5.95625,2.5989361702127662,95.64,3896,2016-02,3896,0
2016-03,7.162765957446808,21.33723404255319,-7.353191489361703,60.57446808510638,62.09893617021277,32.954255319148935,0.0,2.1021276595744682,8.379787234042555,217.26808510638298,58.45968085106383,6.3999999999999995,2.8333333333333335,8.807446808510639,95.393,4492,2016-03,4492,0
2016-04,13.667021276595746,26.71914893617021,3.39468085106383,65.37234042553192,163.51702127659576,41.411702127659574,11.753191489361702,2.2457446808510637,11.448936170212766,201.67127659574467,51.275957446808505,0.0,0.0,15.758510638297873,95.573,3909,2016-04,3909,0
2016-05,18.32659574468085,30.413829787234043,7.279787234042553,64.69148936170212,103.36063829787234,35.956382978723404,10.09468085106383,2.1968085106382977,10.663829787234043,258.8276595744681,59.44085106382979,0.0,0.0,21.71382978723404,95.63,2979,2016-05,2979,0
2016-06,22.013829787234044,30.888297872340427,12.501063829787233,75.7872340425532,77.95212765957447,37.986170212765956,16.267021276595745,1.8106382978723403,7.086170212765958,182.39148936170213,41.6436170212766,0.0,0.0,26.28723404255319,95.611,3162,2016-06,3162,0
2016-07,25.214893617021275,34.16808510638298,18.53723404255319,82.85106382978724,284.23617021276596,96.34255319148937,34.08723404255319,1.8085106382978724,7.882978723404255,178.2436170212766,40.13297872340426,0.0,0.0,28.56382978723404,95.431,4870,2016-07,4870,0
2016-08,26.451063829787234,35.91063829787234,15.148936170212766,75.63829787234043,83.31595744680851,37.63510638297872,18.631914893617022,1.7999999999999998,8.577659574468084,247.3063829787234,59.13521276595745,0.0,0.0,31.475531914893615,95.677,7886,2016-08,7886,0
2016-09,21.472340425531915,30.698936170212765,12.437234042553191,81.76595744680851,207.2308510638298,92.2936170212766,22.33404255319149,1.5648936170212766,7.089361702127659,129.52340425531915,34.911808510638295,0.0,0.0,23.830851063829787,96.247,5063,2016-09,5063,0
2016-10,15.803157894736842,28.10736842105263,3.2305263157894735,77.94736842105263,155.10842105263157,68.63894736842106,24.350526315789477,1.7621052631578948,9.626315789473685,127.57684210526315,36.549894736842106,0.0,0.0,17.15157894736842,96.379,3510,2016-10,3510,0
2016-11,7.973684210526316,20.477894736842106,-3.6789473684210527,68.83157894736843,36.415789473684214,15.04,0.325,1.9,7.363157894736842,158.8284210526316,51.531894736842105,0.625,0.625,8.44,96.237,4100,2016-11,4100,김장철
2016-12,3.2526315789473683,16.30842105263158,-7.551578947368421,67.0421052631579,67.15157894736842,29.36,0.0,2.1042105263157898,8.891578947368421,156.69052631578947,51.78273684210526,4.730769230769231,3.623076923076923,3.258947368421053,96.342,4177,2016-12,4177,김장철
2017-01,0.27578947368421053,12.963157894736842,-11.203157894736842,61.65263157894737,16.852631578947367,7.111578947368422,0.0,2.249473684210526,8.992631578947368,188.46210526315792,60.65178947368421,9.963157894736844,8.26842105263158,0.9694736842105263,97.366,4006,2017-01,4006,0
2017-02,1.7400000000000002,14.532631578947367,-8.556842105263158,57.642105263157895,33.28736842105263,18.101052631578945,0.0,2.5,8.947368421052632,203.02105263157895,66.65115789473684,13.353846153846153,9.354545454545455,2.6252631578947367,97.632,3979,2017-02,3979,0
